L*,C*,S12,Thr,Lys,His,分组
70.76310996,14.10453394,0.990119996,19.9185,40.57779,17.6325,8
70.06994546,13.55997018,0.990051833,20.55192,37.07169,19.60542,8
70.89340371,15.11547577,0.990121388,21.1827,39.99516,18.44094,8
68.62874342,13.72823466,0.990079719,14.80803,34.75134,19.23504,8
69.22,13.59,0.997563649,21.04725,18.74538,20.81121,9
68.54,14.65,0.997562563,22.80987,20.17056,22.5102,9
70.74,13.45,0.997559987,19.31253,17.30262,19.10529,9
69.87150229,14.24182317,0.99755338,22.63653,20.01156,19.25124,9
72.82141082,13.50280522,0.997550807,19.6182,16.84806,22.97061,9
70.40626363,13.81042016,0.997525567,21.71829,19.40979,20.34867,9
66.90676049,13.44036186,0.997563627,20.74758,18.94338,19.88349,9
66.78823341,13.88079725,0.997544463,20.1204,19.33989,19.67427,9
68.18499687,13.92910128,0.997328829,21.40059,15.6105,19.6317,9
70.0428441,12.30545875,0.997480502,18.57417,20.92527,23.74662,9
69.29580607,14.71327273,0.997005901,21.3576,21.89463,20.80683,9
67.81073509,13.86932964,0.996943411,18.80052,19.91208,22.65783,9
68.64119026,13.62091691,0.996793229,24.10449,20.53695,24.06342,9
69.87921538,13.67966684,0.997005468,19.35486,17.55189,19.00614,9
70.23773611,13.78855969,0.997005886,19.33281,16.22274,17.11614,9
70.11650447,13.07325476,0.996994648,22.97544,19.05741,19.1004,9
68.65105447,14.93560457,0.997014205,20.73981,16.39368,22.8729,9
69.30947073,13.71385409,0.997008415,19.55997,15.67857,20.47776,9
68.77560326,13.44965387,0.997005641,20.85021,18.94671,21.76647,9
68.11241979,14.80522089,0.997010164,21.39954,19.93641,23.32257,9
66.69012693,13.62812518,0.996485941,20.35185,18.9489,18.57159,9
69.20629322,12.26917191,0.996276806,21.56049,19.80519,22.59915,9
70.68924903,13.23985565,0.996394953,19.896,20.42949,18.5316,9
68.02499899,14.09227975,0.996466495,23.99091,21.54651,21.17142,9
71.17015447,14.13644952,0.996455393,20.73408,20.06673,21.95355,9
70.57665832,14.52991186,0.996483476,20.03394,19.90719,19.86774,9
69.11885758,14.78738763,0.996446609,19.12515,16.2096,20.2323,9
70.86918596,13.80190766,0.996449529,22.07919,18.06447,21.85503,9
69.63747606,13.73090294,0.99643186,25.17129,19.42239,19.08195,9
69.20656247,12.31916354,0.996452758,21.19626,18.73362,15.69582,9
